Trailing P/E Ratio,Forward P/E Ratio,Price to Book Ratio,Earnings Per Share Trailing,Earnings Per Share Forward,Return on Equity,Debt to Equity Ratio,Free Cash Flow,Operating Margin,Price to Sales Ratio,Quick Ratio,Interest Coverage Ratio,Enterprise Value,Enterprise Value to EBITDA,PEG Ratio,Total Debt,Total Stockholder Equity,Symbol,Error
48.783283,25.757675,5.8062496,Not Available,6.07,0.08284,83.045,Not Available,0.2619,5.227337,0.792,Not Available,190112776192,Not Available,Not Available,48633161000.0,Not Available,KKR,
45.877106,28.000671,24.430899,Not Available,6.79,0.17691,439.338,4893250048,0.45165002,7.9664702,0.419,Not Available,138149429248,19.832,Not Available,35734000000.0,Not Available,AMT,
13.443698,8.649045,0.78493136,Not Available,7.19,0.03874,Not Available,Not Available,0.24610001,2.1664057,Not Available,Not Available,23297296384,Not Available,Not Available,286619000000.0,Not Available,C,
61.62671,31.126217,19.718386,Not Available,5.83,0.22041,65.956,Not Available,0.51078,19.59529,0.886,Not Available,160983072768,Not Available,Not Available,Not Available,Not Available,BX,
66.61398,24.533009,3.0921175,Not Available,7.54,0.04658,23.07,2862019584,0.2178,11.212739,1.138,Not Available,116578631680,26.73,Not Available,6634313000.0,Not Available,ADI,
19.596676,14.792288,6.564619,Not Available,8.81,0.31422,155.425,4099375104,0.0922,1.2207804,1.027,Not Available,130916630528,10.902,Not Available,18916000000.0,Not Available,UPS,
17.533537,6.8366947,0.9451265,Not Available,5.79,0.07332,Not Available,Not Available,0.05388,1.9318496,Not Available,Not Available,9464098816,Not Available,Not Available,204333000000.0,Not Available,TD,
28.740181,25.523798,Not Available,Not Available,3.72,Not Available,Not Available,2150099968,0.13262999,2.9814737,0.524,Not Available,130097053696,19.417,Not Available,14319500000.0,Not Available,SBUX,
17.76287,19.953936,5.403187,Not Available,22.17,0.35481,288.043,3000000000,0.19016,2.2167733,1.798,Not Available,171760975872,11.958,Not Available,43229000000.0,Not Available,DE,
64.94517,39.18358,23.258465,Not Available,48.38,0.42622003,158.421,1636125056,0.10486,5.033279,0.802,Not Available,92747382784,34.186,Not Available,2107000000.0,Not Available,MELI,
18.411766,17.179762,0.070878446,Not Available,1.64,0.18731001,Not Available,Not Available,0.37491,0.06096858,Not Available,Not Available,908143951872,Not Available,Not Available,1837026245000.0,Not Available,IBN,
13.946541,12.611158,Not Available,Not Available,24.55,11.954511,5711.069,4146749952,0.13781999,1.1294876,0.866,Not Available,123510087680,8.985,Not Available,37169000000.0,Not Available,HCA,
1020.44434,12.144277,6.194105,Not Available,7.43,0.00561,126.415,9078375424,0.41962,4.044575,0.962,Not Available,130925060096,9.386,Not Available,23189000000.0,Not Available,GILD,
26.593752,17.922014,1.2461106,Not Available,2.08,0.052849997,Not Available,Not Available,0.24806,2.3053708,Not Available,Not Available,147170443264,Not Available,Not Available,333653000000.0,Not Available,UBS,
26.944021,9.015438,1.8856236,Not Available,31.32,0.07606,80.15,-3041999872,0.027449999,0.34382457,0.606,Not Available,106345562112,12.431,Not Available,28155000000.0,Not Available,CI,
Not Available,7.9852805,6.6591744,Not Available,7.03,-0.3133,299.052,17518125056,0.18475,2.4067934,1.016,Not Available,157567057920,8.223,Not Available,36653000000.0,Not Available,BMY,
40.344296,20.421911,4.2841883,Not Available,10.19,0.10618,89.406,4483125248,0.30719,5.8972826,0.215,Not Available,143483076608,16.368,Not Available,21711000000.0,Not Available,FI,
20.51773,17.42283,2.7777245,Not Available,3.43,0.13552,73.232,4272000000,0.11147001,2.1401846,0.295,Not Available,96315056128,12.991,Not Available,16887000000.0,Not Available,MDLZ,
34.60347,22.930315,28.475245,Not Available,32.82,0.90577006,191.76,2268658176,0.39413,9.878213,1.387,Not Available,103515398144,24.361,Not Available,5880199000.0,Not Available,KLAC,
25.987057,19.672068,12.246454,Not Available,4.27,0.49116,58.827,3978129408,0.30331,6.6268506,1.685,Not Available,102237102080,20.779,Not Available,4466045000.0,Not Available,LRCX,
19.55711,19.443485,2.7607768,Not Available,4.32,0.12713,176.35,498750016,0.35139,3.478415,0.447,Not Available,159598903296,12.22,Not Available,57210000000.0,Not Available,SO,
30.30086,8.239331,2.5985994,Not Available,12.87,0.01743,31.194,363500000,0.19703,4.6921062,1.592,Not Available,121170362368,13.548,Not Available,11237000000.0,Not Available,MU,
Not Available,244.87605,Not Available,Not Available,0.47,Not Available,Not Available,-4186625024,-0.31418,1.7464893,0.238,Not Available,152958992384,-38.326,Not Available,46927000000.0,Not Available,BA,
5.359375,4.366201,0.44920278,Not Available,2.97,0.21757999,81.548,111708872704,0.39625,0.16881718,0.643,Not Available,422550405120,1.89,Not Available,24479000000.0,Not Available,PBR,
35.22189,28.017338,21.343384,Not Available,12.78,0.64452004,291.114,1918649984,0.18434,3.8671317,0.453,Not Available,100568186880,22.857,Not Available,8377900000.0,Not Available,SHW,
96.588776,67.37991,13.194178,Not Available,1.85,0.15031,11.277,861124992,0.15772,16.344074,5.62,Not Available,129784356864,103.744,Not Available,916000000.0,Not Available,SHOP,
35.502384,22.406855,3.1428633,Not Available,6.74,0.09408,78.899,2806249984,0.4768,9.349736,0.027,Not Available,106418454528,19.147,Not Available,20659000000.0,Not Available,ICE,
19.615799,17.255785,1.7514387,Not Available,6.34,0.088369995,169.205,-2398249984,0.26147,2.836926,0.29,Not Available,171138433024,12.132,Not Available,72452000000.0,Not Available,DUK,
Not Available,22.153269,0.9303433,Not Available,0.97,-0.15597,47.906,-9374624768,-0.0104600005,1.7085991,0.833,Not Available,124168372224,11.895,Not Available,46978000000.0,Not Available,INTC,
43.496346,35.41046,22.08428,Not Available,13.32,0.54016,197.861,1952999936,0.42029998,12.505623,1.538,Not Available,91235614720,27.53,Not Available,,Not Available,MCO,
31.69,7.01519,7.9783487,Not Available,3.77,0.0392,85.668,16305125376,0.07842,0.42929852,0.806,Not Available,566069559296,17.861,Not Available,48670000000.0,Not Available,BP,
8.760135,9.682744,Not Available,Not Available,5.35,Not Available,Not Available,4325499904,0.59843,4.316513,0.274,Not Available,111201001472,9.103,Not Available,25112000000.0,Not Available,MO,
31.123827,25.872732,14.311967,Not Available,6.34,0.47303,129.442,1872249984,0.38526002,8.177858,1.836,Not Available,79898763264,21.227,Not Available,6564000000.0,Not Available,ZTS,
21.818626,14.453316,1.6439519,Not Available,2.14,0.0959,138.964,3816124928,0.152,2.0058744,0.397,Not Available,200429830144,13.745,Not Available,74715000000.0,Not Available,ENB,
Not Available,7.6278768,1.5392443,Not Available,4.7,-0.21503,74.143,8375374848,0.34537998,3.0532374,0.575,Not Available,114807898112,9.012,Not Available,35039000000.0,Not Available,BTI,
25.485632,23.480295,166.71053,Not Available,3.86,4.87923,1009.091,2979875072,0.21000999,3.6039343,0.576,Not Available,79803703296,16.306,Not Available,8219000000.0,Not Available,CL,
20.325459,16.840086,3.186707,Not Available,16.08,0.16952999,48.609,2150625024,0.10205,1.5924507,0.722,Not Available,82274263040,15.228,Not Available,8754000000.0,Not Available,GD,
32.37156,26.275324,10.649397,Not Available,8.07,0.35025,208.894,1359874944,0.20093,3.9731238,0.782,Not Available,101005099008,15.829,Not Available,15895000000.0,Not Available,WM,
35.705505,30.771263,11.545239,Not Available,12.65,0.35146,69.203,2474449920,0.18761998,4.5170074,0.873,Not Available,90941538304,24.637,Not Available,3977900000.0,Not Available,TT,
82.63448,70.24369,6.5015693,Not Available,13.38,0.08267,140.964,2946253568,0.15682,10.515233,0.913,Not Available,104779620352,31.25,Not Available,12725609000.0,Not Available,EQIX,
47.900967,41.602856,18.608427,Not Available,4.68,0.40462002,70.573,1597249152,0.22427,8.202938,0.703,Not Available,85166866432,34.757,Not Available,2025934000.0,Not Available,CTAS,
28.448668,15.173761,1.5818851,Not Available,3.6,0.08088,48.611,2288624896,0.37418997,4.8581476,0.415,Not Available,92220866560,12.118,Not Available,19351000000.0,Not Available,CP,
358.84998,150.37924,36.210896,Not Available,0.47,0.12409,5.552,784283520,0.15594,61.781033,5.546,Not Available,159277039616,400.488,Not Available,,Not Available,PLTR,
19.40531,11.643552,Not Available,Not Available,9.4,Not Available,Not Available,3218125056,0.06673,0.83294004,0.404,Not Available,120382013440,13.796,Not Available,19012000000.0,Not Available,DELL,
9.271624,9.130741,1.79442,Not Available,6.82,0.19718,25.014,6896249856,0.28796,1.8099139,1.155,Not Available,105531973632,5.372,Not Available,12177000000.0,Not Available,RIO,
53.25926,43.462494,21.70566,Not Available,1.31,0.45673,124.061,878918528,0.17483999,7.1349254,1.486,Not Available,81552736256,36.511,Not Available,Not Available,Not Available,CMG,
